Starting model training...
Epoch: 6 [20480/644647 (3%)]	Loss: 0.000009
Epoch: 6 [40960/644647 (6%)]	Loss: 0.000010
Epoch: 6 [61440/644647 (10%)]	Loss: 0.000005
Epoch: 6 [81920/644647 (13%)]	Loss: 0.000007
Epoch: 6 [102400/644647 (16%)]	Loss: 0.000007
Epoch: 6 [122880/644647 (19%)]	Loss: 0.000008
Epoch: 6 [143360/644647 (22%)]	Loss: 0.000006
Epoch: 6 [163840/644647 (25%)]	Loss: 0.000005
Epoch: 6 [184320/644647 (29%)]	Loss: 0.000005
Epoch: 6 [204800/644647 (32%)]	Loss: 0.000004
Epoch: 6 [225280/644647 (35%)]	Loss: 0.000006
Epoch: 6 [245760/644647 (38%)]	Loss: 0.000006
Epoch: 6 [266240/644647 (41%)]	Loss: 0.000005
Epoch: 6 [286720/644647 (44%)]	Loss: 0.000004
Epoch: 6 [307200/644647 (48%)]	Loss: 0.000007
Epoch: 6 [327680/644647 (51%)]	Loss: 0.000007
Epoch: 6 [348160/644647 (54%)]	Loss: 0.000006
Epoch: 6 [368640/644647 (57%)]	Loss: 0.000009
Epoch: 6 [389120/644647 (60%)]	Loss: 0.000005
Epoch: 6 [409600/644647 (63%)]	Loss: 0.000008
Epoch: 6 [430080/644647 (67%)]	Loss: 0.000008
Epoch: 6 [450560/644647 (70%)]	Loss: 0.000009
Epoch: 6 [471040/644647 (73%)]	Loss: 0.000005
Epoch: 6 [491520/644647 (76%)]	Loss: 0.000007
Epoch: 6 [512000/644647 (79%)]	Loss: 0.000005
Epoch: 6 [532480/644647 (83%)]	Loss: 0.000007
Epoch: 6 [552960/644647 (86%)]	Loss: 0.000006
Epoch: 6 [573440/644647 (89%)]	Loss: 0.000006
Epoch: 6 [593920/644647 (92%)]	Loss: 0.000008
Epoch: 6 [614400/644647 (95%)]	Loss: 0.000005
Epoch: 6 [634880/644647 (98%)]	Loss: 0.000007
====> Epoch: 6 Average loss: 0.000007
Epoch: 7 [0/644647 (0%)]	Loss: 0.000009
Epoch: 7 [20480/644647 (3%)]	Loss: 0.000005
Epoch: 7 [40960/644647 (6%)]	Loss: 0.000009
Epoch: 7 [61440/644647 (10%)]	Loss: 0.000006
Epoch: 7 [81920/644647 (13%)]	Loss: 0.000007
Epoch: 7 [102400/644647 (16%)]	Loss: 0.000006
Epoch: 7 [122880/644647 (19%)]	Loss: 0.000007
Epoch: 7 [143360/644647 (22%)]	Loss: 0.000006
Epoch: 7 [163840/644647 (25%)]	Loss: 0.000008
Epoch: 7 [184320/644647 (29%)]	Loss: 0.000008
Epoch: 7 [204800/644647 (32%)]	Loss: 0.000006
Epoch: 7 [225280/644647 (35%)]	Loss: 0.000006
Epoch: 7 [245760/644647 (38%)]	Loss: 0.000010
Epoch: 7 [266240/644647 (41%)]	Loss: 0.000007
Epoch: 7 [286720/644647 (44%)]	Loss: 0.000010
Epoch: 7 [307200/644647 (48%)]	Loss: 0.000007
Epoch: 7 [327680/644647 (51%)]	Loss: 0.000006
Epoch: 7 [348160/644647 (54%)]	Loss: 0.000006
Epoch: 7 [368640/644647 (57%)]	Loss: 0.000007
Epoch: 7 [389120/644647 (60%)]	Loss: 0.000005
Epoch: 7 [409600/644647 (63%)]	Loss: 0.000006
Epoch: 7 [430080/644647 (67%)]	Loss: 0.000007
Epoch: 7 [450560/644647 (70%)]	Loss: 0.000006
Epoch: 7 [471040/644647 (73%)]	Loss: 0.000004
Epoch: 7 [491520/644647 (76%)]	Loss: 0.000006
Epoch: 7 [512000/644647 (79%)]	Loss: 0.000010
Epoch: 7 [532480/644647 (83%)]	Loss: 0.000006
Epoch: 7 [552960/644647 (86%)]	Loss: 0.000006
Epoch: 7 [573440/644647 (89%)]	Loss: 0.000004
Epoch: 7 [593920/644647 (92%)]	Loss: 0.000010
Epoch: 7 [614400/644647 (95%)]	Loss: 0.000006
Epoch: 7 [634880/644647 (98%)]	Loss: 0.000005
====> Epoch: 7 Average loss: 0.000007
Epoch: 8 [0/644647 (0%)]	Loss: 0.000005
Epoch: 8 [20480/644647 (3%)]	Loss: 0.000006
Epoch: 8 [40960/644647 (6%)]	Loss: 0.000007
Epoch: 8 [61440/644647 (10%)]	Loss: 0.000008
Epoch: 8 [81920/644647 (13%)]	Loss: 0.000009
Epoch: 8 [102400/644647 (16%)]	Loss: 0.000008
Epoch: 8 [122880/644647 (19%)]	Loss: 0.000007
Epoch: 8 [143360/644647 (22%)]	Loss: 0.000005
Epoch: 8 [163840/644647 (25%)]	Loss: 0.000005
Epoch: 8 [184320/644647 (29%)]	Loss: 0.000006
Epoch: 8 [204800/644647 (32%)]	Loss: 0.000006
Epoch: 8 [225280/644647 (35%)]	Loss: 0.000008
Epoch: 8 [245760/644647 (38%)]	Loss: 0.000005
Epoch: 8 [266240/644647 (41%)]	Loss: 0.000004
Epoch: 8 [286720/644647 (44%)]	Loss: 0.000004
Epoch: 8 [307200/644647 (48%)]	Loss: 0.000005
Epoch: 8 [327680/644647 (51%)]	Loss: 0.000008
Epoch: 8 [348160/644647 (54%)]	Loss: 0.000005
Epoch: 8 [368640/644647 (57%)]	Loss: 0.000007
Epoch: 8 [389120/644647 (60%)]	Loss: 0.000004
Epoch: 8 [409600/644647 (63%)]	Loss: 0.000006
Epoch: 8 [430080/644647 (67%)]	Loss: 0.000006
Epoch: 8 [450560/644647 (70%)]	Loss: 0.000005
Epoch: 8 [471040/644647 (73%)]	Loss: 0.000006
Epoch: 8 [491520/644647 (76%)]	Loss: 0.000005
Epoch: 8 [512000/644647 (79%)]	Loss: 0.000007
Epoch: 8 [532480/644647 (83%)]	Loss: 0.000005
Epoch: 8 [552960/644647 (86%)]	Loss: 0.000007
Epoch: 8 [573440/644647 (89%)]	Loss: 0.000007
Epoch: 8 [593920/644647 (92%)]	Loss: 0.000005
Epoch: 8 [614400/644647 (95%)]	Loss: 0.000009
Epoch: 8 [634880/644647 (98%)]	Loss: 0.000007
====> Epoch: 8 Average loss: 0.000006
Epoch: 9 [0/644647 (0%)]	Loss: 0.000005
Epoch: 9 [20480/644647 (3%)]	Loss: 0.000007
Epoch: 9 [40960/644647 (6%)]	Loss: 0.000007
Epoch: 9 [61440/644647 (10%)]	Loss: 0.000007
Epoch: 9 [81920/644647 (13%)]	Loss: 0.000011
Epoch: 9 [102400/644647 (16%)]	Loss: 0.000007
Epoch: 9 [122880/644647 (19%)]	Loss: 0.000006
Epoch: 9 [143360/644647 (22%)]	Loss: 0.000005
Epoch: 9 [163840/644647 (25%)]	Loss: 0.000004
Epoch: 9 [184320/644647 (29%)]	Loss: 0.000005
Epoch: 9 [204800/644647 (32%)]	Loss: 0.000010
Epoch: 9 [225280/644647 (35%)]	Loss: 0.000005
Epoch: 9 [245760/644647 (38%)]	Loss: 0.000005
Epoch: 9 [266240/644647 (41%)]	Loss: 0.000006
Epoch: 9 [286720/644647 (44%)]	Loss: 0.000006
Epoch: 9 [307200/644647 (48%)]	Loss: 0.000006
Epoch: 9 [327680/644647 (51%)]	Loss: 0.000005
Epoch: 9 [348160/644647 (54%)]	Loss: 0.000005
Epoch: 9 [368640/644647 (57%)]	Loss: 0.000011
Epoch: 9 [389120/644647 (60%)]	Loss: 0.000005
Epoch: 9 [409600/644647 (63%)]	Loss: 0.000006
Epoch: 9 [430080/644647 (67%)]	Loss: 0.000004
Epoch: 9 [450560/644647 (70%)]	Loss: 0.000004
Epoch: 9 [471040/644647 (73%)]	Loss: 0.000004
Epoch: 9 [491520/644647 (76%)]	Loss: 0.000006
Epoch: 9 [512000/644647 (79%)]	Loss: 0.000005
Epoch: 9 [532480/644647 (83%)]	Loss: 0.000010
Epoch: 9 [552960/644647 (86%)]	Loss: 0.000007
Epoch: 9 [573440/644647 (89%)]	Loss: 0.000008
Epoch: 9 [593920/644647 (92%)]	Loss: 0.000004
Epoch: 9 [614400/644647 (95%)]	Loss: 0.000007
Epoch: 9 [634880/644647 (98%)]	Loss: 0.000005
====> Epoch: 9 Average loss: 0.000006
Epoch: 10 [0/644647 (0%)]	Loss: 0.000009
Epoch: 10 [20480/644647 (3%)]	Loss: 0.000006
Epoch: 10 [40960/644647 (6%)]	Loss: 0.000005
Epoch: 10 [61440/644647 (10%)]	Loss: 0.000004
Epoch: 10 [81920/644647 (13%)]	Loss: 0.000007
Epoch: 10 [102400/644647 (16%)]	Loss: 0.000007
Epoch: 10 [122880/644647 (19%)]	Loss: 0.000005
Epoch: 10 [143360/644647 (22%)]	Loss: 0.000009
Epoch: 10 [163840/644647 (25%)]	Loss: 0.000005
Epoch: 10 [184320/644647 (29%)]	Loss: 0.000005
Epoch: 10 [204800/644647 (32%)]	Loss: 0.000007
Epoch: 10 [225280/644647 (35%)]	Loss: 0.000005
Epoch: 10 [245760/644647 (38%)]	Loss: 0.000008
Epoch: 10 [266240/644647 (41%)]	Loss: 0.000006
Epoch: 10 [286720/644647 (44%)]	Loss: 0.000005
Epoch: 10 [307200/644647 (48%)]	Loss: 0.000007
Epoch: 10 [327680/644647 (51%)]	Loss: 0.000007
Epoch: 10 [348160/644647 (54%)]	Loss: 0.000005
Epoch: 10 [368640/644647 (57%)]	Loss: 0.000005
Epoch: 10 [389120/644647 (60%)]	Loss: 0.000005
Epoch: 10 [409600/644647 (63%)]	Loss: 0.000007
Epoch: 10 [430080/644647 (67%)]	Loss: 0.000004
Epoch: 10 [450560/644647 (70%)]	Loss: 0.000008
Epoch: 10 [471040/644647 (73%)]	Loss: 0.000006
Epoch: 10 [491520/644647 (76%)]	Loss: 0.000005
Epoch: 10 [512000/644647 (79%)]	Loss: 0.000004
Epoch: 10 [532480/644647 (83%)]	Loss: 0.000005
Epoch: 10 [552960/644647 (86%)]	Loss: 0.000006
Epoch: 10 [573440/644647 (89%)]	Loss: 0.000006
Epoch: 10 [593920/644647 (92%)]	Loss: 0.000007
Epoch: 10 [614400/644647 (95%)]	Loss: 0.000005
Epoch: 10 [634880/644647 (98%)]	Loss: 0.000005
====> Epoch: 10 Average loss: 0.000006
Epoch: 11 [0/644647 (0%)]	Loss: 0.000009
Epoch: 11 [20480/644647 (3%)]	Loss: 0.000006
Epoch: 11 [40960/644647 (6%)]	Loss: 0.000005
Epoch: 11 [61440/644647 (10%)]	Loss: 0.000006
Epoch: 11 [81920/644647 (13%)]	Loss: 0.000008
Epoch: 11 [102400/644647 (16%)]	Loss: 0.000005
Epoch: 11 [122880/644647 (19%)]	Loss: 0.000009
Epoch: 11 [143360/644647 (22%)]	Loss: 0.000005
Epoch: 11 [163840/644647 (25%)]	Loss: 0.000005
Epoch: 11 [184320/644647 (29%)]	Loss: 0.000008
Epoch: 11 [204800/644647 (32%)]	Loss: 0.000005
Epoch: 11 [225280/644647 (35%)]	Loss: 0.000005
Epoch: 11 [245760/644647 (38%)]	Loss: 0.000007
Epoch: 11 [266240/644647 (41%)]	Loss: 0.000005
Epoch: 11 [286720/644647 (44%)]	Loss: 0.000009
Epoch: 11 [307200/644647 (48%)]	Loss: 0.000004
Epoch: 11 [327680/644647 (51%)]	Loss: 0.000007
Epoch: 11 [348160/644647 (54%)]	Loss: 0.000006
Epoch: 11 [368640/644647 (57%)]	Loss: 0.000008
Epoch: 11 [389120/644647 (60%)]	Loss: 0.000006
Epoch: 11 [409600/644647 (63%)]	Loss: 0.000005
Epoch: 11 [430080/644647 (67%)]	Loss: 0.000006
Epoch: 11 [450560/644647 (70%)]	Loss: 0.000005
Epoch: 11 [471040/644647 (73%)]	Loss: 0.000006
Epoch: 11 [491520/644647 (76%)]	Loss: 0.000005
Epoch: 11 [512000/644647 (79%)]	Loss: 0.000005
Epoch: 11 [532480/644647 (83%)]	Loss: 0.000006
Epoch: 11 [552960/644647 (86%)]	Loss: 0.000005
Epoch: 11 [573440/644647 (89%)]	Loss: 0.000006
Epoch: 11 [593920/644647 (92%)]	Loss: 0.000007
Epoch: 11 [614400/644647 (95%)]	Loss: 0.000005
Epoch: 11 [634880/644647 (98%)]	Loss: 0.000004
====> Epoch: 11 Average loss: 0.000006
Epoch: 12 [0/644647 (0%)]	Loss: 0.000007
Epoch: 12 [20480/644647 (3%)]	Loss: 0.000005
Epoch: 12 [40960/644647 (6%)]	Loss: 0.000005
Epoch: 12 [61440/644647 (10%)]	Loss: 0.000007
Epoch: 12 [81920/644647 (13%)]	Loss: 0.000008
Epoch: 12 [102400/644647 (16%)]	Loss: 0.000005
Epoch: 12 [122880/644647 (19%)]	Loss: 0.000005
Epoch: 12 [143360/644647 (22%)]	Loss: 0.000006
Epoch: 12 [163840/644647 (25%)]	Loss: 0.000007
Epoch: 12 [184320/644647 (29%)]	Loss: 0.000005
Epoch: 12 [204800/644647 (32%)]	Loss: 0.000005
Epoch: 12 [225280/644647 (35%)]	Loss: 0.000005
